serial_num,subject_code,course_type,lab_or_lecture,department,branch,batch,faculty_code,floor,room_num,day,start_time,end_time,year,duration
268.0,DSA,M,lecture,all,all,N,NR,6,609,monday,16:00:00,18:00:00,SE,2
269.0,OS,M,lab,all,all,A,JR,6,606,monday,16:00:00,18:00:00,SE,2
270.0,PCS,SBC,lab,CSE,AIML,B,SD,4,407,tuesday,09:00:00,11:00:00,SE,2
271.0,LA,BSC,lab,CSE,AIML,D,RM,4,410C,tuesday,09:00:00,11:00:00,SE,2
272.0,DAA,PC,lab,CSE,AIML,C,AVN,4,410B,tuesday,09:00:00,11:00:00,SE,2
273.0,OS,PC,lab,CSE,AIML,A,VB,4,408,tuesday,09:00:00,11:00:00,SE,2
274.0,PCS,SBC,lecture,CSE,AIML,N,SD,4,405,tuesday,11:15:00,12:15:00,SE,1
275.0,DAA,PC,lecture,CSE,AIML,N,AVN,4,405,tuesday,12:15:00,13:15:00,SE,1
276.0,CCN,PC,lecture,CSE,AIML,N,AVS,4,407,tuesday,14:00:00,15:00:00,SE,1
277.0,DSA,M,lecture,all,all,N,NRR,6,603,tuesday,16:00:00,18:00:00,SE,2
278.0,OS,M,lecture,all,all,N,JR,6,605,tuesday,16:00:00,18:00:00,SE,2
279.0,DAA,PC,lecture,CSE,AIML,N,AVN ,4,405,wednesday,09:00:00,10:00:00,SE,1
280.0,DAA,PC,lecture,CSE,AIML,N,AVN,4,405,wednesday,10:00:00,11:00:00,SE,1
281.0,DAA,PC,lab,CSE,AIML,B,AVN,4,410B,wednesday,11:15:00,13:15:00,SE,2
282.0,OS,PC,lab,CSE,AIML,C,AT,4,408,wednesday,11:15:00,13:15:00,SE,2
283.0,CCN,PC,lab,CSE,AIML,D,JR,4,410A,wednesday,11:15:00,13:15:00,SE,2
284.0,PCS,SBC,lab,CSE,AIML,A,SD,4,412,wednesday,11:15:00,13:15:00,SE,2
285.0,OS,PC,lecture,CSE,AIML,N,AT,4,407,wednesday,14:00:00,15:00:00,SE,1
286.0,DSA,M,lecture,all,all,N,NR,6,609,wednesday,16:00:00,18:00:00,SE,2
287.0,OS,M,lab,all,all,B,JR,6,606,wednesday,16:00:00,18:00:00,SE,2
288.0,CCN,PC,lab,CSE,AIML,B,AVS,4,410A,thursday,09:00:00,11:00:00,SE,2
289.0,OS,PC,lab,CSE,AIML,D,VB,4,406B,thursday,09:00:00,11:00:00,SE,2
290.0,DAA,PC,lab,CSE,AIML,A,AVN,4,410B,thursday,09:00:00,11:00:00,SE,2
291.0,LA,BSC,lab,CSE,AIML,C,SP,4,410C,thursday,09:00:00,11:00:00,SE,2
292.0,LA,BSC,lecture,CSE,AIML,N,RM,4,405,thursday,11:15:00,12:15:00,SE,1
293.0,LA,BSC,lecture,CSE,AIML,N,RM,4,405,thursday,12:15:00,13:15:00,SE,1
294.0,FOM-II,BSC(LE),lecture,all,all,N,RRS,3,309,thursday,14:00:00,15:00:00,SE,1
295.0,DSA,M,lecture,all,all,N,NR,6,609,thursday,16:00:00,18:00:00,SE,2
296.0,OS,M,lab,all,all,C,JR,6,606,thursday,16:00:00,18:00:00,SE,2
297.0,PCS,SBC,lab,CSE,AIML,D,SD,4,407,friday,09:00:00,11:00:00,SE,2
298.0,OS,PC,lab,CSE,AIML,B,AT,4,408,friday,09:00:00,11:00:00,SE,2
299.0,LA,BSC,lab,CSE,AIML,A,RM,4,404,friday,09:00:00,11:00:00,SE,2
300.0,CCN,PC,lab,CSE,AIML,C,AVN,4,410B,friday,09:00:00,11:00:00,SE,2
301.0,OS,PC,lecture,CSE,AIML,N,AT,4,405,friday,11:15:00,12:15:00,SE,1
302.0,OS,PC,lecture,CSE,AIML,N,AT,4,405,friday,12:15:00,13:15:00,SE,1
303.0,FOM-II,BSC(LE),lecture,all,all,N,RRS,3,309,friday,14:00:00,15:00:00,SE,1
